PROTOCOL,MESSAGE_SIZE,DURATION_ACK,FILE_NAME,ITERATION
MQTT,1071472,430188,data/big_data.json,6
HTTP,1071472,465716,data/big_data.json,7
MQTT,1071472,414187,data/big_data.json,7
HTTP,1071472,403889,data/big_data.json,8
MQTT,1071472,410093,data/big_data.json,8
HTTP,1071472,455377,data/big_data.json,9
MQTT,1071472,413596,data/big_data.json,9
HTTP,1071472,911837,data/big_data.json,10
MQTT,1071472,410253,data/big_data.json,10
HTTP,1071472,546544,data/big_data.json,11
MQTT,1071472,392216,data/big_data.json,11
HTTP,1071472,429942,data/big_data.json,12
MQTT,1071472,442818,data/big_data.json,12
HTTP,1071472,416937,data/big_data.json,13
MQTT,1071472,407352,data/big_data.json,13
HTTP,1071472,754123,data/big_data.json,14
MQTT,1071472,412795,data/big_data.json,14
HTTP,1071472,514448,data/big_data.json,15
MQTT,1071472,405203,data/big_data.json,15
HTTP,1071472,556423,data/big_data.json,16
MQTT,1071472,422207,data/big_data.json,16
HTTP,1071472,151242,data/big_data.json,17
MQTT,1071472,408968,data/big_data.json,17
HTTP,1071472,490158,data/big_data.json,18
MQTT,1071472,382260,data/big_data.json,18
HTTP,1071472,447851,data/big_data.json,19
MQTT,1071472,404337,data/big_data.json,19
HTTP,1071472,453628,data/big_data.json,20
MQTT,1071472,414488,data/big_data.json,20
HTTP,1071472,604232,data/big_data.json,21
MQTT,1071472,434116,data/big_data.json,21
HTTP,1071472,562144,data/big_data.json,22
MQTT,1071472,442752,data/big_data.json,22
HTTP,1071472,473789,data/big_data.json,23
MQTT,1071472,487887,data/big_data.json,23
HTTP,1071472,457891,data/big_data.json,24
MQTT,1071472,468658,data/big_data.json,24
HTTP,1071472,420823,data/big_data.json,25
MQTT,1071472,403797,data/big_data.json,25
HTTP,1071472,884932,data/big_data.json,26
MQTT,1071472,407041,data/big_data.json,26
HTTP,1071472,445974,data/big_data.json,27
MQTT,1071472,409525,data/big_data.json,27
HTTP,1071472,525098,data/big_data.json,28
MQTT,1071472,423408,data/big_data.json,28
HTTP,1071472,440075,data/big_data.json,29
MQTT,1071472,460621,data/big_data.json,29
